predator.name	SpecCode	gbif.taxon.id	dietary.niche.width	Cnidaria.other	Anthozoa	Annelida.other	Polychaeta	Clitellata	Mollusca.other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Brachiopoda.other	Arthropoda.other	Ostracoda	Maxillopoda	Malacostraca	Insecta	Echinodermata.other	Ophiuroidea	Echinoidea	Holothuroidea	Chordata.other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Plantae.other	Animalia.other	Cnidaria-sub	Annelida-sub	Mollusca-sub	Arthropoda-sub	Brachiopoda-sub	Echinodermata-sub	Chordata-sub
Hemanthias peruanus	3326	2387434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Ophichthus rufus	1741	5213132	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0							
Lutjanus lutjanus	159	2384741	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Sargocentron suborbitale	13775	7193466	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Latimeria menadoensis	53783	2441276	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0							
Amphiprion nigripes	7809	5212055	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Citharichthys arctifrons	4209	2408719	8	0	0	0	3	0	3	0	0	0	2	0	0	0	0	21	0	4	1	0	0	0	6	0	0	0	0	0	0	12							
Boraras urophthalmoides	12211	2366593	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Lampanyctus alatus	616	7791680	8	0	0	0	3	0	2	0	0	1	0	0	0	0	24	16	0	0	0	0	0	5	6	0	0	0	0	0	0	6							
Exocoetus obtusirostris	1031	2368660	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6							
Luciobarbus brachycephalus	4637	2363090	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	34	0	0	0	0	0	3	0	0	8	0	0	12	3							
Etheostoma nigrum	3445	2382319	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	3	0	0	0	0	0	3	0							
Centropyge vrolikii	5447	2396509	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Scolopsis xenochroa	5882	2380088	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Hipposcarus harid	7906	2393848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Carangoides bartholomaei	1913	5210553	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	18	0	0	9							
Sardinella zunasi	1519	2412828	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6							
Dolicholagus longirostris	9168	2410945	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9							
Cichla intermedia	46777	5208144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0							
Alosa maeotica	1581	2412653	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0							
Hemichromis fasciatus	2390	2371377	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	2	0	0	4	0	0	6	9							
Menticirrhus littoralis	411	2400086	9	0	0	0	33	0	0	0	10	4	0	0	1	0	0	16	16	0	0	0	0	0	17	0	0	0	0	0	10	10							
Epalzeorhynchos kalopterus	10832	2360408	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3							
Scyliorhinus retifer	853	2418664	5	0	0	0	18	0	18	0	0	0	14	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	27							
